Name;Category;Location;WikidataID;DateCelebration;DateDeclaration;Lattitude;Longitude;NombreLink;;Ubicacion2;Ubicacion2Link;Coordinate1;Coordinate1Link;Coordinate2;Coordinate2Link;Coordinate3;Coordinate3Link;Coordinate4;Image;Coordinate4Lin k;Coordinate5;Coordinate5Link;Coordinate6;Coordinate6Link;Coordinate7;Coordinate7Link;;Fecha2;Fecha2Link;Fecha3;Fecha4;Fecha4Link;;IdentificatorLink;Category;CategoryLink;Imagen1;Imagen1Alt;Image1Link
Semana Santa en Valladolid;International;Valladolid;Q9075887;Semana Santa;"1980[12]​; 1980";41°39′07″N;4°43′43″O;https://es.wikipedia.org/wiki/Semana_Santa_en_Valladolid;;Valladolid;https://es.wikipedia.org/wiki/Valladolid;http://4v.dia.fi.upm.es/test/test2_files/15px-Erioll_world.svg.png;Mostrar el lugar en un mapa interactivo;41°39′07″N 4°43′43″O / 41.65194, -4.72861 (Valladolid);http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=41_39_07_N_4_43_43_W_&title=Valladolid;41°39′07″N;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=41_39_07_N_4_43_43_W_&title=Valladolid;4°43′43″O;;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=41_39_07_N_4_43_43_W_&title=Valladolid;4.165.194,00;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=41_39_07_N_4_43_43_W_&title=Valladolid;-472.861;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=41_39_07_N_4_43_43_W_&title=Valladolid;Valladolid;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=41_39_07_N_4_43_43_W_&title=Valladolid;;Semana Santa;https://es.wikipedia.org/wiki/Semana_Santa;"1980[12]​; 1980";[12];https://es.wikipedia.org/wiki/Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)#cite_note-12;;https://www.wikidata.org/wiki/Q9075887;Holy Week in Valladolid;https://commons.wikimedia.org/wiki/Category:Holy_Week_in_Valladolid;"http://4v.dia.fi.upm.es/test/test2_files/100px-Espiritu_VA.JPG; http://4v.dia.fi.upm.es/test/test2_files/16px-Camera-photo_Upload.svg.png";"Semana Santa en Valladolid; Haz clic aquí para subir tu imagen";"https://commons.wikimedia.org/wiki/File:Espiritu_VA.JPG; https://commons.wikimedia.org/wiki/special:uploadWizard?campaign=wlfolk&id=Q9075887&descriptionlang=es&categories=Holy+Week+in+Valladolid&description=Semana+Santa+en+Valladolid"
Semana Santa en Zamora;International;Zamora;Q5886937;Semana Santa;"1985[13]​; 1985";41°29′56″N;5°45′20″O;https://es.wikipedia.org/wiki/Semana_Santa_en_Zamora;;Zamora;https://es.wikipedia.org/wiki/Zamora;http://4v.dia.fi.upm.es/test/test2_files/15px-Erioll_world.svg.png;Mostrar el lugar en un mapa interactivo;41°29′56″N 5°45′20″O / 41.49889, -5.75556 (Zamora);http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=41_29_56_N_5_45_20_W_&title=Zamora;41°29′56″N;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=41_29_56_N_5_45_20_W_&title=Zamora;5°45′20″O;;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=41_29_56_N_5_45_20_W_&title=Zamora;4.149.889,00;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=41_29_56_N_5_45_20_W_&title=Zamora;-575.556;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=41_29_56_N_5_45_20_W_&title=Zamora;Zamora;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=41_29_56_N_5_45_20_W_&title=Zamora;;Semana Santa;https://es.wikipedia.org/wiki/Semana_Santa;"1985[13]​; 1985";[13];https://es.wikipedia.org/wiki/Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)#cite_note-13;;https://www.wikidata.org/wiki/Q5886937;Holy Week in Zamora;https://commons.wikimedia.org/wiki/Category:Holy_Week_in_Zamora;"http://4v.dia.fi.upm.es/test/test2_files/100px-Semana_santa.jpg; http://4v.dia.fi.upm.es/test/test2_files/16px-Camera-photo_Upload.svg.png";"Semana Santa en Zamora; Haz clic aquí para subir tu imagen";"https://commons.wikimedia.org/wiki/File:Semana_santa.jpg; https://commons.wikimedia.org/wiki/special:uploadWizard?campaign=wlfolk&id=Q5886937&descriptionlang=es&categories=Holy+Week+in+Zamora&description=Semana+Santa+en+Zamora"
Semana Santa en León;International;León;Q9075874;Semana Santa;2002[14]​;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 (1998;" de Interés Turístico Nacional)[15]​; 2002""";42°35′56″N;5°34′01″O;https://es.wikipedia.org/wiki/Semana_Santa_en_Le%C3%B3n;;León;https://es.wikipedia.org/wiki/Le%C3%B3n_(Espa%C3%B1a);http://4v.dia.fi.upm.es/test/test2_files/15px-Erioll_world.svg.png;Mostrar el lugar en un mapa interactivo;42°35′56″N 5°34′01″O / 42.59889, -5.56694 (León);http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=42_35_56_N_5_34_01_W_&title=Le%C3%B3n;42°35′56″N;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=42_35_56_N_5_34_01_W_&title=Le%C3%B3n;5°34′01″O;;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=42_35_56_N_5_34_01_W_&title=Le%C3%B3n;4.259.889,00;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=42_35_56_N_5_34_01_W_&title=Le%C3%B3n;-556.694;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=42_35_56_N_5_34_01_W_&title=Le%C3%B3n;León;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=42_35_56_N_5_34_01_W_&title=Le%C3%B3n;;Semana Santa;https://es.wikipedia.org/wiki/Semana_Santa;2002[14]​;;;;;;;;;;;;;
 (1998;" de Interés Turístico Nacional)[15]​; 2002""";"[14]; [15]";"https://es.wikipedia.org/wiki/Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)#cite_note-14; https://es.wikipedia.org/wiki/Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)#cite_note-15";;https://www.wikidata.org/wiki/Q9075874;Holy Week in León;https://commons.wikimedia.org/wiki/Category:Holy_Week_in_Le%C3%B3n;"http://4v.dia.fi.upm.es/test/test2_files/100px-La_Exaltaci%C3%B3n_de_la_Cruz.jpg; http://4v.dia.fi.upm.es/test/test2_files/16px-Camera-photo_Upload.svg.png";"Semana Santa en León; Haz clic aquí para subir tu imagen";"https://commons.wikimedia.org/wiki/File:La_Exaltaci%C3%B3n_de_la_Cruz.jpg; https://commons.wikimedia.org/wiki/special:uploadWizard?campaign=wlfolk&id=Q9075874&descriptionlang=es&categories=Holy+Week+in+Le%C3%B3n&description=Semana+Santa+en+Le%C3%B3n";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Semana Santa en Salamanca;International;Salamanca;Q9075880;Semana Santa;"2003[16]​; 2003";40°57′54″N;5°39′50″O;https://es.wikipedia.org/wiki/Semana_Santa_en_Salamanca;;Salamanca;https://es.wikipedia.org/wiki/Salamanca;http://4v.dia.fi.upm.es/test/test2_files/15px-Erioll_world.svg.png;Mostrar el lugar en un mapa interactivo;40°57′54″N 5°39′50″O / 40.96500, -5.66389 (Salamanca);http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=40_57_54_N_5_39_50_W_&title=Salamanca;40°57′54″N;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=40_57_54_N_5_39_50_W_&title=Salamanca;5°39′50″O;;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=40_57_54_N_5_39_50_W_&title=Salamanca;4.096.500,00;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=40_57_54_N_5_39_50_W_&title=Salamanca;-566.389;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=40_57_54_N_5_39_50_W_&title=Salamanca;Salamanca;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=40_57_54_N_5_39_50_W_&title=Salamanca;;Semana Santa;https://es.wikipedia.org/wiki/Semana_Santa;"2003[16]​; 2003";[16];https://es.wikipedia.org/wiki/Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)#cite_note-16;;https://www.wikidata.org/wiki/Q9075880;Holy Week in Salamanca;https://commons.wikimedia.org/wiki/Category:Holy_Week_in_Salamanca;"http://4v.dia.fi.upm.es/test/test2_files/100px-Virgen_de_la_Piedad_de_Luis_Salvador_Carmona.jpg; http://4v.dia.fi.upm.es/test/test2_files/16px-Camera-photo_Upload.svg.png";"Semana Santa en Salamanca; Haz clic aquí para subir tu imagen";"https://commons.wikimedia.org/wiki/File:Virgen_de_la_Piedad_de_Luis_Salvador_Carmona.jpg; https://commons.wikimedia.org/wiki/special:uploadWizard?campaign=wlfolk&id=Q9075880&descriptionlang=es&categories=Holy+Week+in+Salamanca&description=Semana+Santa+en+Salamanca"
Semana Santa en Cartagena;International;Cartagena;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
" (Murcia)""";Q7884112;Semana Santa;"2005[17]​; 2005";37°36′00″N;0°58′55″O;https://es.wikipedia.org/wiki/Semana_Santa_en_Cartagena;;"Cartagena; Murcia";"https://es.wikipedia.org/wiki/Cartagena_(Espa%C3%B1a); https://es.wikipedia.org/wiki/Regi%C3%B3n_de_Murcia";http://4v.dia.fi.upm.es/test/test2_files/15px-Erioll_world.svg.png;Mostrar el lugar en un mapa interactivo;37°36′00″N 0°58′55″O / 37.60000, -0.98194 (Cartagena (España));http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=37_36_00_N_0_58_55_W_&title=Cartagena+%28Espa%C3%B1a%29;37°36′00″N;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=37_36_00_N_0_58_55_W_&title=Cartagena+%28Espa%C3%B1a%29;0°58′55″O;;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=37_36_00_N_0_58_55_W_&title=Cartagena+%28Espa%C3%B1a%29;3.760.000,00;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=37_36_00_N_0_58_55_W_&title=Cartagena+%28Espa%C3%B1a%29;-0.98194;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=37_36_00_N_0_58_55_W_&title=Cartagena+%28Espa%C3%B1a%29;Cartagena (España);http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=37_36_00_N_0_58_55_W_&title=Cartagena+%28Espa%C3%B1a%29;;Semana Santa;https://es.wikipedia.org/wiki/Semana_Santa;"2005[17]​; 2005";[17];https://es.wikipedia.org/wiki/Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)#cite_note-17;;https://www.wikidata.org/wiki/Q7884112;Holy Week in Cartagena;https://commons.wikimedia.org/wiki/Category:Holy_Week_in_Cartagena;"http://4v.dia.fi.upm.es/test/test2_files/100px-Nazarenomarrajo.JPG; http://4v.dia.fi.upm.es/test/test2_files/16px-Camera-photo_Upload.svg.png";"Semana Santa en Cartagena; Haz clic aquí para subir tu imagen";"https://commons.wikimedia.org/wiki/File:Nazarenomarrajo.JPG; https://commons.wikimedia.org/wiki/special:uploadWizard?campaign=wlfolk&id=Q7884112&descriptionlang=es&categories=Holy+Week+in+Cartagena&description=Semana+Santa+en+Cartagena";;
Semana Santa en Hellín;International;Hellín;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
" (Albacete)""";Q6124527;Semana Santa;"2007; 2007";38°30′44″N;1°42′12″O;https://es.wikipedia.org/wiki/Semana_Santa_en_Hell%C3%ADn;;"Hellín; Albacete";"https://es.wikipedia.org/wiki/Hell%C3%ADn; https://es.wikipedia.org/wiki/Provincia_de_Albacete";http://4v.dia.fi.upm.es/test/test2_files/15px-Erioll_world.svg.png;Mostrar el lugar en un mapa interactivo;38°30′44″N 1°42′12″O / 38.51222, -1.70333 (Hellín);http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=38_30_44_N_1_42_12_W_&title=Hell%C3%ADn;38°30′44″N;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=38_30_44_N_1_42_12_W_&title=Hell%C3%ADn;1°42′12″O;;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=38_30_44_N_1_42_12_W_&title=Hell%C3%ADn;3.851.222,00;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=38_30_44_N_1_42_12_W_&title=Hell%C3%ADn;-170.333;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=38_30_44_N_1_42_12_W_&title=Hell%C3%ADn;Hellín;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=38_30_44_N_1_42_12_W_&title=Hell%C3%ADn;;Semana Santa;https://es.wikipedia.org/wiki/Semana_Santa;"2007; 2007";;;;https://www.wikidata.org/wiki/Q6124527;Holy Week in Hellín;https://commons.wikimedia.org/wiki/Category:Holy_Week_in_Hell%C3%ADn;"http://4v.dia.fi.upm.es/test/test2_files/100px-Domingo_de_Resurrecci%C3%B3n_Hell%C3%ADn.JPG; http://4v.dia.fi.upm.es/test/test2_files/16px-Camera-photo_Upload.svg.png";"Semana Santa en Hellín; Haz clic aquí para subir tu imagen";"https://commons.wikimedia.org/wiki/File:Domingo_de_Resurrecci%C3%B3n_Hell%C3%ADn.JPG; https://commons.wikimedia.org/wiki/special:uploadWizard?campaign=wlfolk&id=Q6124527&descriptionlang=es&categories=Holy+Week+in+Hell%C3%ADn&description=Semana+Santa+en+Hell%C3%ADn";;
Semana Santa en Lorca;International;Lorca;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
" (Murcia)""";Q9075878;Semana Santa;"2007[18]​; 2007";37°41′00″N;1°42′00″O;https://es.wikipedia.org/wiki/Semana_Santa_en_Lorca;;"Lorca; Murcia";"https://es.wikipedia.org/wiki/Lorca; https://es.wikipedia.org/wiki/Regi%C3%B3n_de_Murcia";http://4v.dia.fi.upm.es/test/test2_files/15px-Erioll_world.svg.png;Mostrar el lugar en un mapa interactivo;37°41′00″N 1°42′00″O / 37.68333, -1.70000 (Lorca);http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=37_41_00_N_1_42_00_W_&title=Lorca;37°41′00″N;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=37_41_00_N_1_42_00_W_&title=Lorca;1°42′00″O;;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=37_41_00_N_1_42_00_W_&title=Lorca;3.768.333,00;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=37_41_00_N_1_42_00_W_&title=Lorca;-170.000;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=37_41_00_N_1_42_00_W_&title=Lorca;Lorca;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=37_41_00_N_1_42_00_W_&title=Lorca;;Semana Santa;https://es.wikipedia.org/wiki/Semana_Santa;"2007[18]​; 2007";[18];https://es.wikipedia.org/wiki/Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)#cite_note-18;;https://www.wikidata.org/wiki/Q9075878;Holy Week in Lorca;https://commons.wikimedia.org/wiki/Category:Holy_Week_in_Lorca;"http://4v.dia.fi.upm.es/test/test2_files/100px-Legionarios_Paso_Blanco.JPG; http://4v.dia.fi.upm.es/test/test2_files/16px-Camera-photo_Upload.svg.png";"Semana Santa en Lorca; Haz clic aquí para subir tu imagen";"https://commons.wikimedia.org/wiki/File:Legionarios_Paso_Blanco.JPG; https://commons.wikimedia.org/wiki/special:uploadWizard?campaign=wlfolk&id=Q9075878&descriptionlang=es&categories=Holy+Week+in+Lorca&description=Semana+Santa+en+Lorca";;
Semana Santa en Granada;International;Granada;Q9075873;Semana Santa;"2009[19]​; 2009";37°10′41″N;3°36′03″O;https://es.wikipedia.org/wiki/Semana_Santa_en_Granada;;Granada;https://es.wikipedia.org/wiki/Granada;http://4v.dia.fi.upm.es/test/test2_files/15px-Erioll_world.svg.png;Mostrar el lugar en un mapa interactivo;37°10′41″N 3°36′03″O / 37.17806, -3.60083 (Granada);http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=37_10_41_N_3_36_03_W_&title=Granada;37°10′41″N;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=37_10_41_N_3_36_03_W_&title=Granada;3°36′03″O;;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=37_10_41_N_3_36_03_W_&title=Granada;3.717.806,00;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=37_10_41_N_3_36_03_W_&title=Granada;-360.083;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=37_10_41_N_3_36_03_W_&title=Granada;Granada;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=37_10_41_N_3_36_03_W_&title=Granada;;Semana Santa;https://es.wikipedia.org/wiki/Semana_Santa;"2009[19]​; 2009";[19];https://es.wikipedia.org/wiki/Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)#cite_note-19;;https://www.wikidata.org/wiki/Q9075873;Holy Week in Granada;https://commons.wikimedia.org/wiki/Category:Holy_Week_in_Granada;"http://4v.dia.fi.upm.es/test/test2_files/100px-Imagen_de_Nuestro_Padre_Jesus_del_Rescate_en_la_Iglesia_de_la_Magdalena,_en_Granada_(Spain)).jpg; http://4v.dia.fi.upm.es/test/test2_files/16px-Camera-photo_Upload.svg.png";"Semana Santa en Granada; Haz clic aquí para subir tu imagen";"https://commons.wikimedia.org/wiki/File:Imagen_de_Nuestro_Padre_Jesus_del_Rescate_en_la_Iglesia_de_la_Magdalena,_en_Granada_(Spain)).jpg; https://commons.wikimedia.org/wiki/special:uploadWizard?campaign=wlfolk&id=Q9075873&descriptionlang=es&categories=Holy+Week+in+Granada&description=Semana+Santa+en+Granada"
Semana Santa en Medina de Rioseco;International;Medina de Rioseco;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
" (Valladolid)""";Q6124557;Semana Santa;"2009[20]​; 2009";41°52′59″N;5°02′34″O;https://es.wikipedia.org/wiki/Semana_Santa_en_Medina_de_Rioseco;;"Medina de Rioseco; Valladolid";"https://es.wikipedia.org/wiki/Medina_de_Rioseco; https://es.wikipedia.org/wiki/Provincia_de_Valladolid";http://4v.dia.fi.upm.es/test/test2_files/15px-Erioll_world.svg.png;Mostrar el lugar en un mapa interactivo;41°52′59″N 5°02′34″O / 41.88306, -5.04278 (Medina de Rioseco);http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=41_52_59_N_5_02_34_W_&title=Medina+de+Rioseco;41°52′59″N;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=41_52_59_N_5_02_34_W_&title=Medina+de+Rioseco;5°02′34″O;;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=41_52_59_N_5_02_34_W_&title=Medina+de+Rioseco;4.188.306,00;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=41_52_59_N_5_02_34_W_&title=Medina+de+Rioseco;-504.278;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=41_52_59_N_5_02_34_W_&title=Medina+de+Rioseco;Medina de Rioseco;http://tools.wmflabs.org/geohack/geohack.php?language=es&pagename=Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)&params=41_52_59_N_5_02_34_W_&title=Medina+de+Rioseco;;Semana Santa;https://es.wikipedia.org/wiki/Semana_Santa;"2009[20]​; 2009";[20];https://es.wikipedia.org/wiki/Anexo:Fiestas_de_Inter%C3%A9s_Tur%C3%ADstico_Internacional_(Espa%C3%B1a)#cite_note-20;;https://www.wikidata.org/wiki/Q6124557;Holy Week in Medina de Rioseco;https://commons.wikimedia.org/wiki/Category:Holy_Week_in_Medina_de_Rioseco;"http://4v.dia.fi.upm.es/test/test2_files/100px-Crucifixi%C3%B3n_del_Se%C3%B1or.jpg; http://4v.dia.fi.upm.es/test/test2_files/16px-Camera-photo_Upload.svg.png";"Semana Santa en Medina de Rioseco; Haz clic aquí para subir tu imagen";"https://commons.wikimedia.org/wiki/File:Crucifixi%C3%B3n_del_Se%C3%B1or.jpg; https://commons.wikimedia.org/wiki/special:uploadWizard?campaign=wlfolk&id=Q6124557&descriptionlang=es&categories=Holy+Week+in+Medina+de+Rioseco&description=Semana+Santa+en+Medina+de+Rioseco";;
Semana Santa en Orihuela;International;Orihuela;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
